Framework,Scenario,Threads,RunID,Throughput,AvgLatency,TailLatency99,ErrorRate,AvgCPU,AvgMemoryMiB
express,fibonacci,4,1,3.941666666666667,13.3276955602537,16.0,0.0,1.349872881355932,124.87457627118643
express,fibonacci,4,2,3.941666666666667,13.264270613107822,16.0,0.0,1.3011016949152543,117.36779661016949
express,fibonacci,4,3,3.941666666666667,13.257928118393234,15.0,0.0,1.2900847457627118,119.064406779661
express,fibonacci,4,4,3.941666666666667,13.420718816067653,15.0,0.0,1.3291101694915253,118.80677966101695
express,fibonacci,4,5,3.941666666666667,13.312896405919663,18.0,0.0,1.3038559322033902,118.64067796610172
express,fibonacci,4,6,3.941666666666667,13.323467230443974,16.0,0.0,1.3058474576271186,119.59322033898303
express,fibonacci,4,7,3.941666666666667,13.279069767441861,16.279999999999973,0.0,1.3590677966101699,126.67796610169493
express,fibonacci,4,8,3.941666666666667,13.257928118393234,16.0,0.0,1.3133898305084748,121.22542372881355
express,fibonacci,4,9,3.941666666666667,13.439746300211416,16.0,0.0,1.3171610169491523,120.73220338983049
express,fibonacci,4,10,3.941666666666667,13.448202959830867,16.0,0.0,1.3258898305084748,118.0864406779661
express,fibonacci,4,11,3.941666666666667,13.348837209302326,17.279999999999973,0.0,1.3281779661016948,120.94915254237289
express,fibonacci,4,12,3.941666666666667,13.338266384778013,16.0,0.0,1.3361016949152542,119.97457627118644
express,fibonacci,4,13,3.941666666666667,13.346723044397462,16.0,0.0,1.3476694915254237,122.8677966101695
express,fibonacci,4,14,3.941666666666667,13.26215644820296,16.0,0.0,1.3210169491525423,121.91694915254236
express,fibonacci,4,15,3.941666666666667,14.010570824524313,21.279999999999973,0.0,1.4205084745762713,123.61694915254236
express,fibonacci,4,16,3.941666666666667,13.141649048625792,16.0,0.0,1.3019491525423728,120.80169491525426
express,fibonacci,4,17,3.941666666666667,13.120507399577168,16.0,0.0,1.3088559322033897,119.9627118644068
express,fibonacci,4,18,3.941666666666667,13.217758985200845,19.0,0.0,1.3240677966101695,124.77627118644067
express,fibonacci,4,19,3.941666666666667,13.315010570824525,16.0,0.0,1.3096186440677966,117.06610169491525
express,fibonacci,4,20,3.941666666666667,13.247357293868921,17.0,0.0,1.3096610169491527,118.73728813559322
express,fibonacci,4,21,3.941666666666667,13.50739957716702,16.0,0.0,1.3616949152542372,125.20169491525425
express,fibonacci,4,22,3.941666666666667,13.31923890063425,16.0,0.0,1.3112711864406779,118.43050847457627
express,fibonacci,4,23,3.941666666666667,13.274841437632135,16.279999999999973,0.0,1.340381355932203,122.64237288135594
express,fibonacci,4,24,3.95,12.970464135021096,16.0,0.0,1.284491525423729,118.99322033898305
express,fibonacci,4,25,3.941666666666667,12.81183932346723,15.0,0.0,1.280127118644068,123.38474576271186
express,fibonacci,4,26,3.941666666666667,12.947145877378436,16.0,0.0,1.271737288135593,118.42203389830507
express,fibonacci,4,27,3.941666666666667,12.849894291754756,16.0,0.0,1.3080084745762712,121.32203389830508
express,fibonacci,4,28,3.941666666666667,13.08245243128964,19.0,0.0,1.3125847457627118,119.1542372881356
express,fibonacci,4,29,3.941666666666667,13.266384778012686,16.0,0.0,1.3291101694915255,124.31525423728814
express,fibonacci,4,30,3.95,12.651898734177216,15.0,0.0,1.2298305084745762,119.61186440677967
express,fibonacci,4,31,3.941666666666667,13.090909090909092,17.0,0.0,1.2692372881355933,119.07457627118644
express,fibonacci,4,32,3.925,15.715498938428874,22.0,0.0,1.5633898305084748,117.35932203389831
express,fibonacci,4,33,3.941666666666667,13.17970401691332,16.0,0.0,1.3230508474576272,121.54915254237288
express,fibonacci,4,34,3.941666666666667,13.255813953488373,16.0,0.0,1.2985169491525423,119.28644067796608
express,fibonacci,4,35,3.941666666666667,13.241014799154334,16.0,0.0,1.336271186440678,123.23559322033897
express,fibonacci,4,36,3.941666666666667,13.41014799154334,16.279999999999973,0.0,1.3386016949152544,120.73898305084747
express,fibonacci,4,37,3.941666666666667,13.422832980972515,16.0,0.0,1.3141101694915256,119.8135593220339
express,fibonacci,4,38,3.941666666666667,13.226215644820297,16.0,0.0,1.357627118644068,124.21694915254237
express,fibonacci,4,39,3.941666666666667,13.448202959830867,18.0,0.0,1.3552118644067797,123.80508474576271
express,fibonacci,4,40,3.941666666666667,13.224101479915433,16.0,0.0,1.3188983050847458,121.29661016949153
express,fibonacci,4,41,3.941666666666667,13.323467230443974,15.0,0.0,1.3143220338983048,120.65254237288134
express,fibonacci,4,42,3.941666666666667,13.175475687103594,16.0,0.0,1.2998749999999997,118.16833333333335
express,fibonacci,4,43,3.941666666666667,13.283298097251585,16.279999999999973,0.0,1.3286016949152544,122.88135593220338
express,fibonacci,4,44,3.941666666666667,13.367864693446089,16.0,0.0,1.3347033898305083,126.5322033898305
express,fibonacci,4,45,3.941666666666667,13.329809725158562,16.0,0.0,1.310635593220339,118.81355932203391
express,fibonacci,4,46,3.941666666666667,13.243128964059197,16.0,0.0,1.31,118.79830508474576
express,fibonacci,4,47,3.941666666666667,13.276955602536997,16.0,0.0,1.3375847457627117,123.0186440677966
express,fibonacci,4,48,3.941666666666667,13.274841437632135,15.0,0.0,1.3,121.51016949152542
express,fibonacci,4,49,3.941666666666667,13.348837209302326,15.0,0.0,1.315847457627119,117.43389830508474
express,fibonacci,4,50,3.941666666666667,13.348837209302326,16.279999999999973,0.0,1.3320762711864407,122.42033898305085
express,fibonacci,200,1,551.8166666666667,112.09322238666223,238.0,0.0,99.00622881355933,282.01355932203387
